Population,Treatment,Sire,Dame,Bolting time (days),DW (g),Total glucosinolates (µmol/g DW),Trypsin-PI (%),Trichomes
,,,,,,,,
Desert,Methyl jasmonate,4,112,,,,47.06486043,
,,,,,,,,
Desert,Methyl jasmonate,5,113,29,5.91,15.83,78.84589167,4
,,,,,,,,
Desert,Methyl jasmonate,5,113,33,,14.48,53.50026416,4
,,,,,,,,
Desert,Methyl jasmonate,5,113,33,2.15,12.68,,2
,,,,,,,,
Desert,Methyl jasmonate,5,114,24,5.26,16.55,53.09686851,4
,,,,,,,,
Desert,Methyl jasmonate,5,114,33,5.71,13.15,68.89000355,4
,,,,,,,,
Desert,Methyl jasmonate,5,114,31,4.57,8.55,64.32444748,4
,,,,,,,,
Desert,Methyl jasmonate,5,115,33,,21.48,50.85512729,2
,,,,,,,,
Desert,Methyl jasmonate,5,115,31,2.09,8.23,34.60449927,3
,,,,,,,,
Desert,Methyl jasmonate,5,115,37,4.55,13.56,45.3056353,3
,,,,,,,,
Desert,Methyl jasmonate,6,116,26,,17.94,38.47314004,5
,,,,,,,,
Desert,Methyl jasmonate,6,116,31,4.86,19.78,55.44955879,5
,,,,,,,,
Desert,Methyl jasmonate,6,116,36,7.98,14.62,60.36998906,4
,,,,,,,,
Desert,Methyl jasmonate,6,117,31,6.62,13.75,64.98906101,5
,,,,,,,,
Desert,Methyl jasmonate,6,117,31,6.29,13.21,67.80394483,5
,,,,,,,,
Desert,Methyl jasmonate,6,117,33,6.63,17.33,72.53580603,5
,,,,,,,,
Desert,Methyl jasmonate,6,118,33,3.7,15.59,63.84197422,
,,,,,,,,
Desert,Methyl jasmonate,6,118,24,6.48,16.16,53.51315975,4
,,,,,,,,
Desert,Methyl jasmonate,6,118,26,4.16,18.4,97.86061952,5
,,,,,,,,
Desert,Methyl jasmonate,7,119,25,6.44,16.01,67.17541221,4
,,,,,,,,
Desert,Methyl jasmonate,7,119,24,5.15,13.26,70.94191523,4
,,,,,,,,
Desert,Methyl jasmonate,7,119,24,1.28,17.28,66.60492452,
,,,,,,,,
Desert,Methyl jasmonate,7,120,31,6.99,11.71,48.61749342,5
,,,,,,,,
